num_Matrices;t_gpu;throughput_gpu;perf;error_gpu
1;0.515869;0.000388;0.002423;0.00000000000002
2;0.404053;0.000990;0.006187;0.00000000000004
3;0.529053;0.001134;0.007088;0.00000000000006
4;0.587158;0.001362;0.008516;0.00000000000007
5;21.143066;0.000047;0.000296;0.00000000000009
6;0.721924;0.001662;0.010389;0.00000000000010
7;14.032959;0.000100;0.000624;0.00000000000012
8;26.682129;0.000060;0.000375;0.00000000000013
9;0.957031;0.001881;0.011755;0.00000000000015
10;14.385986;0.000139;0.000869;0.00000000000017
20;83.208984;0.000048;0.000300;0.00000000000033
30;101.385010;0.000059;0.000370;0.00000000000048
40;3.341064;0.002394;0.014965;0.00000000000067
50;23.846191;0.000419;0.002621;0.00000000000086
60;4.707031;0.002549;0.015934;0.00000000000101
70;5.690918;0.002460;0.015375;0.00000000000115
80;19.233887;0.000832;0.005199;0.00000000000130
90;139.647949;0.000129;0.000806;0.00000000000143
100;133.604004;0.000150;0.000936;0.00000000000159
200;91.852783;0.000435;0.002722;0.00000000000325
300;81.366943;0.000737;0.004609;0.00000000000492
400;62.800049;0.001274;0.007962;0.00000000000649
500;190.050049;0.000526;0.003289;0.00000000000810
600;197.505859;0.000608;0.003797;0.00000000000975
700;206.541016;0.000678;0.004236;0.00000000001145
800;259.874023;0.000616;0.003848;0.00000000001310
900;222.002930;0.000811;0.005068;0.00000000001469
1000;373.512939;0.000535;0.003347;0.00000000001631
2000;652.307861;0.000613;0.003833;0.00000000003262
3000;881.947021;0.000680;0.004252;0.00000000004854
4000;1087.002930;0.000736;0.004600;0.00000000006476
5000;1601.046143;0.000625;0.003904;0.00000000008091
6000;6918.062012;0.000173;0.001084;0.00000000009715
7000;2048.973877;0.000683;0.004270;0.00000000011323
8000;2322.009033;0.000689;0.004307;0.00000000012935
9000;2799.768066;0.000643;0.004018;0.00000000014518
10000;3082.107910;0.000649;0.004056;0.00000000016098
20000;6095.843994;0.000656;0.004101;0.00000000032221
30000;10039.062988;0.000598;0.003735;0.00000000048418
40000;11746.378906;0.000681;0.004257;0.00000000064599
50000;15234.129150;0.000656;0.004103;0.00000000080798
60000;18065.020996;0.000664;0.004152;0.00000000096911
70000;16976.914062;0.000825;0.005154;0.00000000112947
80000;139418.233887;0.000115;0.000717;0.00000000129050
90000;27432.257080;0.000656;0.004101;0.00000000145218
100000;29636.803955;0.000675;0.004218;0.00000000161341
200000;61362.793945;0.000652;0.004074;0.00000000322809
300000;90231.965820;0.000665;0.004156;0.00000000484429
400000;231797.697021;0.000345;0.002157;0.00000000645651
500000;150059.071045;0.000666;0.004165;0.00000000806963
