N_streams;elapsed_time;throughput;avg_latency;avgStreamOccupancy
1;46.534912;21489242.262876;0.000047;100.000000
2;49.482178;20209296.473734;0.000049;100.000000
3;50.219971;19912397.120092;0.000050;100.000000
4;50.582031;19769866.398950;0.000051;100.000000
5;53.022949;18859758.175171;0.000053;100.000000
6;51.624023;19370826.475985;0.000052;100.000000
7;52.283203;19126601.666106;0.000052;100.000000
8;52.043945;19214530.989060;0.000052;100.000000
9;52.795898;18940865.286795;0.000053;100.000000
10;52.656006;18991185.975454;0.000053;100.000000
11;52.834961;18926861.726706;0.000053;100.000000
12;53.889160;18556607.620169;0.000054;100.000000
13;54.385010;18387419.700935;0.000054;100.000000
14;55.560059;17998541.133873;0.000056;100.000000
15;55.414062;18045960.806429;0.000055;100.000000
16;54.641846;18300992.346289;0.000055;100.000000
17;55.978027;17864152.194203;0.000056;100.000000
18;56.462158;17710977.260247;0.000056;100.000000
19;58.466064;17103939.000405;0.000058;100.000000
20;55.574951;17993718.013487;0.000056;100.000000
21;56.905029;17573139.182180;0.000057;100.000000
22;58.695801;17036993.902287;0.000059;100.000000
23;57.847168;17286930.978889;0.000058;100.000000
24;56.779053;17612128.977886;0.000057;100.000000
25;57.553955;17375000.530243;0.000058;97.656250
